goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3248,2026-07-17,21,3638,3248,1624000,6496,179,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6496,2026-06-23,2,6496,6496,99277,12992,36,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12992,2026-07-17,2,12992,12992,25984,25984,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,24360,2026-07-17,2,24360,24360,24360,48720,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,43848,2026-07-09,3,43848,43848,74353,87696,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,129920,2026-07-11,1,129920,146160,146160,259840,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,365400,365400,730800,3,直近30日間の取引データなし,2026-07-18
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,6114,2026-07-17,36,6377,5824,1624000,8932,118,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,7764,2026-07-18,52,9106,8705,154238,17864,28,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,14291,2026-07-17,27,14783,14291,43603,35728,19,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,24565,40600,22736,3,直近30日間の取引データなし,2026-07-18
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,96496,96496,22736,1,直近30日間の取引データなし,2026-07-18
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,1624000,1624000,16240,1,直近30日間の取引データなし,2026-07-18
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,35203,65790,5522,3,直近30日間の取引データなし,2026-07-18
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,14738,65790,5522,6,直近30日間の取引データなし,2026-07-18
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,812,1624000,1624,549,直近30日間の取引データなし,2026-07-18
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,,,,,1624,233871,3248,115,直近30日間の取引データなし,2026-07-18
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3248,276080,6496,18,直近30日間の取引データなし,2026-07-18
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5846,22736,11693,22,直近30日間の取引データなし,2026-07-18
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,,,,,11368,37953,22736,12,直近30日間の取引データなし,2026-07-18
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21924,143350,43848,2,直近30日間の取引データなし,2026-07-18
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,40600,2026-06-25,1,40600,40600,330218,81200,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,2670,2026-06-23,3,2265,2527,16240,325,40,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1471,2026-07-18,4,1678,1533,16240,1619,23,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
430,AK-47:リヴァイ 進化版(専属),AK47: Strongest Human Enjoy Edition (Exclusive),銃器,Weapon,,,,,1299,8120,2598,29,直近30日間の取引データなし,2026-07-18
431,M4A1:進撃の巨人 先鋒版(専属),M4A1: Power Reverence Vanguard Edition (Exclusive),銃器,Weapon,1263,2026-07-18,13,1141,1340,1619687,1624,318,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
432,M4A1:進撃の巨人 旗艦版(専属),M4A1: Power Reverence Flagship Edition (Exclusive),銃器,Weapon,1650,2026-07-17,28,1715,1624,1624000,3248,87,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
433,M4A1:進撃の巨人 豪華旗艦版(専属),M4A1: Power Reverence Deluxe Flagship Edition (Exclusive),銃器,Weapon,3248,2026-07-15,17,3248,3248,17497,6496,58,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
434,AK-47:リヴァイ 先鋒版(専属),AK47: Strongest Human Vanguard Edition (Exclusive),銃器,Weapon,,,,,650,1624000,1299,381,直近30日間の取引データなし,2026-07-18
435,AK-47:リヴァイ 旗艦版(専属),AK47: Strongest Human Flagship Edition (Exclusive),銃器,Weapon,2436,2026-07-12,7,2436,2436,11847,4872,52,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
436,M16A4:自由の翼 先鋒版(専属),M16A4: Liberty Wind Vanguard Edition (Exclusive),銃器,Weapon,1270,2026-07-11,5,1145,1509,649600,1624,195,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
437,M16A4:自由の翼 進化版(専属),M16A4: Liberty Wind Enjoy Edition (Exclusive),銃器,Weapon,2954,2026-07-18,12,2271,2956,13156,3248,24,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
438,M16A4:自由の翼 旗艦版(専属),M16A4: Liberty Wind Flagship Edition (Exclusive),銃器,Weapon,3423,2026-07-18,49,3411,3787,21708,6496,64,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
443,M27:ドラゴンフォース 旗艦版(専属),M27: Dragon Force Flagship Edition (exclusive),銃器,Weapon,6496,2026-07-16,19,6496,6496,31390,12992,108,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
444,P90:ドラゴンフォース 先鋒版(専属),P90: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,814,2026-07-13,1,814,812,6449,1624,52,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
445,P90:ドラゴンフォース 豪華版(専属),P90: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,1624,2026-06-24,1,1624,1624,4268,3248,17,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
446,P90:ドラゴンフォース 旗艦版(専属),P90: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,3248,2026-07-13,8,3294,3248,324800,6496,10,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
447,SACR-L:ドラゴンフォース 先鋒版(専属),SACR-L: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,1624,2026-07-13,5,2481,1626,148672,3248,49,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
448,SACR-L:ドラゴンフォース 豪華版(専属),SACR-L: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,3248,2026-07-02,1,3248,7608,17866,6496,11,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
449,SACR-L:ドラゴンフォース 旗艦版(専属),SACR-L: Dragon Force Flagship Edition (Exclusive),銃器,Weapon,6496,2026-07-17,27,6623,6496,15537,12992,13,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
450,CS LR4:ドラゴンフォース 先鋒版(専属),CS/LR-4: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,1942,2026-07-16,4,3006,3816,6290,2274,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
